SHA256,SHA1,MD5,FileName,Description
3cb9dea916432ffb8784ac36d1f2d3cd,,,Handala Wiper,Modus Operandi
57a50a1c04254df3db638e75a64d5dd3b0d6a460829192277e252dc0c157a62f,,,fake VPN client,ZIP file retrieved from GitHub (VPN-Client.zip)
862f004679d3b142d9d2c729e78df716aeeda0c7a87a11324742a5a8eda9b557,,,fake VPN client,Suspicious MSI file downloaded from the masqueraded Ivanti pulse VPN client domain (VPN-Client.msi)
6c9ab17a4aff2cdf408815ec120718f19f1a31c13fc5889167065d448a40dfe6,,,fake VPN client,"Suspicious DLL file loaded by the above executables; also signed by Taiyuan Lihua Near Information Technology Co., Ltd. (dwmapi.dll)"
6129d717e4e3a6fb4681463e421a5603b640bc6173fb7ba45a41a881c79415ca,,,fake VPN client,Malicious DLL that steals data from C:\ProgramData\Pulse Secure\ConnectionStore\connstore.dat and exfiltrating it (inspector.dll)
44906752f500b61d436411a121cab8d88edf614e1140a2d01474bd587a8d7ba8,,,fake VPN client,"Malware signed by Taiyuan Lihua Near Information Technology Co., Ltd. (Sophos-Connect-Client.exe)"
85c4837e3337165d24c6690ca63a3274dfaaa03b2ddaca7f1d18b3b169c6aac1,,,fake VPN client,"Malware signed by Taiyuan Lihua Near Information Technology Co., Ltd. (GlobalProtect-VPN.exe)"
98f21b8fa426fc79aa82e28669faac9a9c7fce9b49d75bbec7b60167e21963c9,,,fake VPN client,"Malware signed by Taiyuan Lihua Near Information Technology Co., Ltd. (VPN-Client.exe)"
cfa4781ebfa5a8d68b233efb723dbde434ca70b2f76ff28127ecf13753bfe011,,,fake VPN client,"Malware signed by Taiyuan Lihua Near Information Technology Co., Ltd. (vpn.exe)"
26db3fd959f12a61d19d102c1a0fb5ee7ae3661fa2b301135cdb686298989179,,,fake VPN client,"Malware signed by Taiyuan Lihua Near Information Technology Co., Ltd. (Pulse.exe)"
44906752f500b61d436411a121cab8d88edf614e1140a2d01474bd587a8d7ba8,,,fake VPN client,"Malware signed by Taiyuan Lihua Near Information Technology Co., Ltd. (WiredAccessMethod.dll)"
